,author,co-author,doi,co-author_list,title
293,"Preston, Alison R.","['Wagner, Anthony D.', 'Gabrieli, John D. E.', 'Liang, Jackson C.']","['10.1162/jocn.2009.21195', '10.1093/cercor/bhm245', '10.1016/j.cortex.2016.09.011']","{'Wagner, Anthony D.', 'Liang, Jackson C.', 'Gabrieli, John D. E.'}","['High-resolution fMRI of Content-sensitive Subsequent Memory Responses in Human Medial Temporal Lobe', 'Dissociation between explicit memory and configural memory in the human medial temporal lobe', 'Medial temporal lobe reinstatement of content-specific details predicts source memory']"
294,"Ward, Emily J.","['Epstein, Russell A.']",['10.1167/10.14.6'],"{'Epstein, Russell A.'}",['Eye-centered encoding of visual space in scene-selective regions']
295,"van Stegeren, Anda H.","['Joels, Marian']",['10.1016/j.nlm.2009.08.004'],"{'Joels, Marian'}",['Interacting noradrenergic and corticosteroid systems shift human brain activation patterns during encoding']
296,"Ramsoy, Thomas Z.","['Jernigan, Terry L.']",['10.1016/j.neuroimage.2009.03.082'],"{'Jernigan, Terry L.'}",['Regional activation of the human medial temporal lobe during intentional encoding of objects and positions']
297,"Lepore, Natasha","['Thompson, Paul M.']",['10.1016/j.neuroimage.2009.01.071'],"{'Thompson, Paul M.'}",['Pattern of hippocampal shape and volume differences in blind subjects']
298,"Bellgowan, Patrick S. F.","['Martin, Alex']",['10.1101/lm.1357309'],"{'Martin, Alex'}",['Lateralized spatial and object memory encoding in entorhinal and perirhinal cortices']
299,"Smith, Charles D.","['Conturo, Thomas E.']",['10.1002/jmri.21692'],"{'Conturo, Thomas E.'}",['MRI Diffusion Tensor Tracking of a New Amygdalo-Fusiform and Hippocampo-Fusiform Pathway System in Humans']
300,"Diekmann, Volker","['Becker, Wolfgang']",['10.1007/s00221-009-1753-1'],"{'Becker, Wolfgang'}",['Deriving angular displacement from optic flow: a fMRI study']
301,"Hassabis, Demis","['Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Chadwick, Martin J.']","['10.1016/j.cub.2009.02.033', '10.1523/JNEUROSCI.4549-07.2007', '10.1073/pnas.1610686113']","{'Maguire, Eleanor A.', 'Chadwick, Martin J.'}","['Decoding Neuronal Ensembles in the Human Hippocampus', 'Using imagination to understand the neural basis of episodic memory', 'Semantic representations in the temporal pole predict false memories']"
302,"Straube, Benjamin","['Kircher, Tilo']",['10.1162/jocn.2009.21053'],"{'Kircher, Tilo'}",['Memory Effects of Speech and Gesture Binding: Cortical and Hippocampal Activation in Relation to Subsequent Memory Performance']
303,"Deutschlaender, Angela","['Jahn, Klaus']",['10.1016/j.neuroimage.2008.11.029'],"{'Jahn, Klaus'}",['Imagined locomotion in the blind: An fMRI study']
304,"Jahn, Klaus","['Brandt, Thomas', 'la Fougere, Christian', 'Deutschlaender, Angela', 'Wagner, Judith']","['10.1111/j.1749-6632.2009.03770.x', '10.1016/j.neuroimage.2009.12.060', '10.1016/j.neuroimage.2008.11.029', '10.1007/s00221-008-1520-8']","{'Brandt, Thomas', 'Deutschlaender, Angela', 'Wagner, Judith', 'la Fougere, Christian'}","['Human Hippocampal Activation during Stance and Locomotion fMRI Study on Healthy, Blind, and Vestibular-Loss Subjects', 'Real versus imagined locomotion: A [F-18]-FDG PET-fMRI comparison', 'Imagined locomotion in the blind: An fMRI study', 'Mind the bend: cerebral activations associated with mental imagery of walking along a curved path']"
305,"Iaria, Giuseppe","['Barton, Jason J. S.', 'Arnold, Aiden E. G. F.', 'Burles, Ford', 'Arnold, Aiden E. G. F.']","['10.1016/j.neuropsychologia.2008.08.021', '10.3389/fnhum.2018.00292', '10.1007/s00429-016-1288-8', '10.1162/jocn_a_00491']","{'Barton, Jason J. S.', 'Arnold, Aiden E. G. F.', 'Burles, Ford'}","['Developmental topographical disorientation: Case one', 'Dynamic Neural Network Reconfiguration During the Generation and Reinstatement of Mnemonic Representations', 'Dorso-medial and ventro-lateral functional specialization of the human retrosplenial complex in spatial updating and orienting', 'Neural Network Configuration and Efficiency Underlies Individual Differences in Spatial Orientation Ability']"
306,"Duverne, S.","['Rugg, M. D.']",['10.1016/j.neurobiolaging.2007.04.022'],"{'Rugg, M. D.'}",['Regional specificity of age effects on the neural correlates of episodic retrieval']
307,"Di Giorgio, Annabella","['Bertolino, Alessandro']",['10.1111/j.1460-9568.2008.06482.x'],"{'Bertolino, Alessandro'}",['Association of the Ser(704)Cys DISC1 polymorphism with human hippocampal formation gray matter and function during memory encoding']
308,"Wagner, Judith","['Jahn, Klaus']",['10.1007/s00221-008-1520-8'],"{'Jahn, Klaus'}",['Mind the bend: cerebral activations associated with mental imagery of walking along a curved path']
309,"Konkel, Alex","['Cohen, Neal J.']",['10.3389/neuro.09.015.2008'],"{'Cohen, Neal J.'}",['Hippocampal amnesia impairs all manner of relational memory']
310,"Bogdanova, Yelena","['Cronin-Golomb, Alice']",['10.1016/j.neuropsychologia.2008.05.029'],"{'Cronin-Golomb, Alice'}",['Mapping mental number line in physical space: Vertical and horizontal visual number line orientation in asymptomatic individuals with HIV']
311,"Fairhall, Scott L.","['Ishai, Alumit']",['10.1016/j.concog.2007.07.005'],"{'Ishai, Alumit'}",['Neural correlates of object indeterminacy in art compositions']
